State name,Population,Male,Female
UTTAR PRADESH,3466382,1834106,1632276
UTTAR PRADESH,4143512,2193434,1950078
UTTAR PRADESH,3682713,1921215,1761498
UTTAR PRADESH,4772006,2503186,2268820
UTTAR PRADESH,2335819,1223889,1111930
UTTAR PRADESH,1840221,963449,876772
UTTAR PRADESH,3443689,1825743,1617946
UTTAR PRADESH,1303048,700070,602978
UTTAR PRADESH,4681645,2488834,2192811
UTTAR PRADESH,1648115,890214,757901
UTTAR PRADESH,3499171,1845260,1653911
UTTAR PRADESH,3673889,1951996,1721893
UTTAR PRADESH,1564708,836127,728581
UTTAR PRADESH,2547184,1367125,1180059
UTTAR PRADESH,4418797,2364953,2053844
UTTAR PRADESH,2498156,1332046,1166110
UTTAR PRADESH,1868529,993377,875152
UTTAR PRADESH,3681896,1967759,1714137
UTTAR PRADESH,4448359,2357665,2090694
UTTAR PRADESH,2031007,1072002,959005
UTTAR PRADESH,3006538,1606403,1400135
UTTAR PRADESH,4021243,2123187,1898056
UTTAR PRADESH,4483992,2375264,2108728
UTTAR PRADESH,4092845,2191442,1901403
UTTAR PRADESH,3108367,1630087,1478280
UTTAR PRADESH,4589838,2394476,2195362
UTTAR PRADESH,3405559,1752542,1653017
UTTAR PRADESH,1885204,1006240,878964
UTTAR PRADESH,1656616,881776,774840
UTTAR PRADESH,1581810,845856,735954
UTTAR PRADESH,1379545,740040,639505
UTTAR PRADESH,1796184,963255,832929
UTTAR PRADESH,4581268,2459806,2121462
UTTAR PRADESH,1689974,906092,783882
UTTAR PRADESH,1998603,1057436,941167
UTTAR PRADESH,1221592,641011,580581
UTTAR PRADESH,1104285,593537,510748
UTTAR PRADESH,875958,466358,409600
UTTAR PRADESH,1799410,965876,833534
UTTAR PRADESH,991730,527721,464009
UTTAR PRADESH,2632733,1384722,1248011
UTTAR PRADESH,3209141,1606085,1603056
UTTAR PRADESH,1599596,838485,761111
UTTAR PRADESH,5954391,3131807,2822584
UTTAR PRADESH,3260699,1707073,1553626
UTTAR PRADESH,2470996,1259628,1211368
UTTAR PRADESH,2397888,1212410,1185478
UTTAR PRADESH,3797117,1914586,1882531
UTTAR PRADESH,3487731,1843884,1643847
UTTAR PRADESH,1117361,593897,523464
UTTAR PRADESH,2148665,1114721,1033944
UTTAR PRADESH,3433919,1787146,1646773
UTTAR PRADESH,2559297,1295095,1264202
UTTAR PRADESH,2464464,1255272,1209192
UTTAR PRADESH,1715183,869656,845527
UTTAR PRADESH,2684703,1381754,1302949
UTTAR PRADESH,4440895,2277777,2163118
UTTAR PRADESH,3564544,1818055,1746489
UTTAR PRADESH,3100946,1537436,1563510
UTTAR PRADESH,4613913,2285004,2328909
UTTAR PRADESH,2205968,1114709,1091259
UTTAR PRADESH,3239774,1672902,1566872
UTTAR PRADESH,4494204,2220465,2273739
UTTAR PRADESH,3620268,1855075,1765193
UTTAR PRADESH,1952756,1017905,934851
UTTAR PRADESH,3676841,1921857,1754984
UTTAR PRADESH,1578213,807099,771114
UTTAR PRADESH,2496970,1312302,1184668
UTTAR PRADESH,1862559,971344,891215
UTTAR PRADESH,1774480,947339,827141
UTTAR PRADESH,1436719,764165,672554
JAMMU AND KASHMIR,870354,474190,396164
JAMMU AND KASHMIR,753745,398041,355704
JAMMU AND KASHMIR,133487,78971,54516
JAMMU AND KASHMIR,140802,77785,63017
JAMMU AND KASHMIR,476835,251899,224936
JAMMU AND KASHMIR,642415,345351,297064
JAMMU AND KASHMIR,616435,326109,290326
JAMMU AND KASHMIR,1008039,534733,473306
JAMMU AND KASHMIR,392232,207680,184552
JAMMU AND KASHMIR,1236829,651124,585705
JAMMU AND KASHMIR,297446,158720,138726
JAMMU AND KASHMIR,560440,293064,267376
JAMMU AND KASHMIR,266215,136480,129735
JAMMU AND KASHMIR,1078692,559767,518925
JAMMU AND KASHMIR,424483,217620,206863
JAMMU AND KASHMIR,409936,213641,196295
JAMMU AND KASHMIR,283713,149132,134581
JAMMU AND KASHMIR,230696,120165,110531
JAMMU AND KASHMIR,554985,296784,258201
JAMMU AND KASHMIR,314667,166461,148206
JAMMU AND KASHMIR,1529958,813821,716137
JAMMU AND KASHMIR,318898,169124,149774
HIMACHAL PRADESH,519080,261320,257760
HIMACHAL PRADESH,1510075,750591,759484
HIMACHAL PRADESH,31564,16588,14976
HIMACHAL PRADESH,437903,225452,212451
HIMACHAL PRADESH,999777,498065,501712
HIMACHAL PRADESH,454768,217070,237698
HIMACHAL PRADESH,521173,263692,257481
HIMACHAL PRADESH,381956,192764,189192
HIMACHAL PRADESH,580320,308754,271566
HIMACHAL PRADESH,529855,276289,253566
HIMACHAL PRADESH,814010,425039,388971
HIMACHAL PRADESH,84121,46249,37872
PUNJAB,2298323,1212617,1085706
PUNJAB,815168,426311,388857
PUNJAB,2193590,1145211,1048379
PUNJAB,1586625,809057,777568
PUNJAB,612310,313291,299019
PUNJAB,600163,320795,279368
PUNJAB,3498739,1867816,1630923
PUNJAB,995746,525920,469826
PUNJAB,2029074,1071637,957437
PUNJAB,901896,475622,426274
PUNJAB,617508,326671,290837
PUNJAB,1388525,743197,645328
PUNJAB,769751,408732,361019
PUNJAB,1895686,1002522,893164
PUNJAB,2490656,1318408,1172248
PUNJAB,1119627,589369,530258
PUNJAB,684627,357485,327142
PUNJAB,994628,529253,465375
PUNJAB,1655169,878029,777140
PUNJAB,595527,317522,278005
CHANDIGARH,1055450,580663,474787
UTTARAKHAND,330086,168597,161489
UTTARAKHAND,391605,193991,197614
UTTARAKHAND,242285,114589,127696
UTTARAKHAND,618931,297986,320945
UTTARAKHAND,1696694,892199,804495
UTTARAKHAND,687271,326829,360442
UTTARAKHAND,483439,239306,244133
UTTARAKHAND,259898,124326,135572
UTTARAKHAND,622506,291081,331425
UTTARAKHAND,259648,131125,128523
UTTARAKHAND,954605,493666,460939
UTTARAKHAND,1648902,858783,790119
UTTARAKHAND,1890422,1005295,885127
HARYANA,561293,299679,261614
HARYANA,1128350,598703,529647
HARYANA,1214205,646718,567487
HARYANA,964655,510976,453679
HARYANA,1074304,571003,503301
HARYANA,1505324,797712,707612
HARYANA,1205437,646857,558580
HARYANA,1450001,781299,668702
HARYANA,1334152,713006,621146
HARYANA,942011,495360,446651
HARYANA,1295189,682582,612607
HARYANA,1743931,931562,812369
HARYANA,1634445,866672,767773
HARYANA,1061204,568479,492725
HARYANA,958405,514667,443738
HARYANA,922088,486665,435423
HARYANA,900332,474335,425997
HARYANA,1514432,816690,697742
HARYANA,1089263,571162,518101
HARYANA,1809733,966110,843623
HARYANA,1042708,554497,488211
NCT OF DELHI,3656539,1960922,1695617
NCT OF DELHI,887978,475002,412976
NCT OF DELHI,2241624,1188425,1053199
NCT OF DELHI,1709346,907500,801846
NCT OF DELHI,142004,77942,64062
NCT OF DELHI,582320,307821,274499
NCT OF DELHI,2543243,1356240,1187003
NCT OF DELHI,2292958,1246046,1046912
NCT OF DELHI,2731929,1467428,1264501
RAJASTHAN,1969168,1043340,925828
